Area,No. of Rooms,No. of Bathrooms,Location,Miles (dist. between school and house),Rent Price per Month,Sell Price
1576,3,1,Rural,210,16039,73667845
1291,3,1,Rural,293,16847,16431929
2764,3,1,Rural,477,15171,14497552
1263,3,1,City Center,182,18721,41351951
2735,1,1,Rural,336,17594,43432022
879,2,1,Suburb,215,18063,56086878
992,1,1,Rural,72,12683,20625666
1680,3,1,Rural,82,6277,66678947
2562,1,1,Rural,260,6232,43945833
564,3,1,Suburb,133,15744,76036964
1867,3,1,City Center,384,11690,50652276
1652,1,1,Suburb,130,19401,37745493
2527,3,1,City Center,284,13659,41507773
1995,2,1,City Center,440,17462,6973737
1662,3,1,Rural,407,16601,28210217
2022,2,1,City Center,129,17704,43457340
891,2,1,Suburb,431,6025,54155151
2198,3,1,Suburb,446,19705,69368711
918,1,1,City Center,326,13468,11698618
2836,2,1,Rural,173,12410,31861356
878,1,1,Rural,433,14652,12822603
2296,2,1,Suburb,474,9764,30027785
2778,3,1,Rural,295,12599,36320939
2588,3,1,City Center,274,17623,7805518
2682,2,1,City Center,329,19379,68155344
700,3,1,Suburb,170,11102,43177857
2363,2,1,City Center,385,13006,43153969
1279,3,1,Suburb,317,9483,39495435
1002,1,1,City Center,98,7994,33312498
2954,3,1,Suburb,151,14682,46076121
2251,1,1,Rural,212,7072,63021206
1304,3,1,City Center,318,12707,20004881
2646,1,1,City Center,236,17365,70387807
2395,3,1,Suburb,498,6215,26868901
2070,1,1,Suburb,452,13605,14595960
1460,2,1,City Center,343,15915,66395758
1985,2,1,Suburb,231,15784,56516162
1528,1,1,City Center,50,8606,12736549
1002,3,1,Rural,205,14350,54852189
897,1,1,Suburb,77,10781,33023420
1370,3,1,City Center,485,9313,57590272
892,2,1,Rural,273,17033,63628639
706,3,1,Rural,11,15968,20717083
1538,2,1,City Center,370,16244,36670201
2381,3,1,Suburb,134,13763,12671203
1984,3,1,City Center,119,11939,54393094
1363,3,1,Rural,95,8295,68856981
1063,1,1,City Center,434,11685,8750025
1520,1,1,Suburb,129,7696,30562662
595,2,1,Rural,136,17185,16478542
2423,2,1,City Center,264,16661,45290062
2257,1,1,Suburb,192,7946,52606102
2778,2,1,Rural,25,18001,68516086
2178,1,1,Suburb,486,8783,6955205
1040,3,1,Rural,71,9644,29443415
1559,2,1,City Center,378,11241,55172324
1683,2,1,Suburb,441,12420,47130558
2222,1,1,Rural,167,19869,66148245
2319,2,1,Suburb,277,16692,16421317
2097,2,1,Suburb,44,13557,44615932
1295,3,1,City Center,276,17837,23977748
1551,2,1,Suburb,73,8645,63827935
2143,3,1,Rural,59,12589,56796110
1863,1,1,Rural,478,12353,27646139
2481,2,1,Rural,264,16541,39197175
1854,3,1,Rural,158,7932,67720365
2163,1,1,City Center,334,17486,51515441
2029,2,1,Suburb,313,7757,16833583
2538,1,1,City Center,285,11085,51214597
1996,2,1,Suburb,366,11637,64261869
2737,1,1,Suburb,460,7116,62342202
1908,1,1,Suburb,181,16759,66993015
1900,3,1,City Center,426,17691,60935271
1806,1,1,Suburb,210,6492,51191244
1472,2,1,City Center,454,17498,61472357
2268,2,1,Rural,402,14811,8480017
1782,3,1,Rural,333,17424,10816129
1209,2,1,Suburb,44,13888,6917472
1979,2,1,City Center,474,18015,66998837
1934,2,1,Rural,491,12474,26426495
1148,1,1,City Center,225,16572,11016239
817,1,1,City Center,489,15738,66782618
1757,2,1,Suburb,74,10958,66727594
1183,3,1,Rural,17,19979,67303241
1163,1,1,Suburb,310,17755,30561090
2498,3,1,Suburb,352,15797,43204318
2131,2,1,Rural,440,17944,45087758
1995,2,1,Rural,433,18867,27223676
1636,1,1,City Center,341,16082,30070924
2353,2,1,Rural,447,15467,27821296
2020,1,1,City Center,85,8743,77772618
2989,2,1,City Center,183,13866,77626426
1063,2,1,City Center,56,16685,29317396
1791,1,1,Rural,24,13160,16686962
2136,1,1,Suburb,370,11451,21808458
1198,1,1,City Center,156,11258,64834845
2660,2,1,Suburb,35,14548,7193982
501,2,1,Suburb,317,19912,62986402
1141,3,1,Rural,102,13186,73615317
2767,1,1,Suburb,415,12102,67767845
2089,2,1,Suburb,241,15061,79657758
1354,2,1,Rural,30,15077,67647309
2259,1,1,City Center,316,16193,50467095
2932,3,1,Suburb,47,19701,58839391
2161,1,1,Rural,285,15475,39019807
1653,3,1,Suburb,166,6619,38833206
1576,2,1,Suburb,188,6882,55975039
2207,3,1,City Center,141,14988,28961593
2195,2,1,Suburb,320,9642,9845474
2233,1,1,Rural,464,17617,9924482
1939,1,1,Suburb,357,7296,42786884
2794,1,1,City Center,37,18906,72974034
1335,3,1,City Center,269,14436,35327427
702,2,1,Rural,415,8895,63218588
622,1,1,City Center,85,12593,34905854
900,1,1,Suburb,438,6929,67218834
1266,2,1,City Center,76,11366,26589226
793,1,1,Rural,351,14711,63705020
2827,2,1,City Center,203,9212,67119402
697,2,1,City Center,481,8409,76180504
2430,2,1,City Center,171,14199,49488531
2691,2,1,Rural,356,16717,35998127
1108,2,1,City Center,448,9423,19322450
1647,3,1,City Center,370,16211,23728138
686,1,1,Suburb,266,18782,40671806
2294,3,1,Rural,81,19917,8298756
1159,1,1,City Center,96,12976,29877268
2455,3,1,Rural,431,13594,59119755
2950,2,1,City Center,271,11158,16444453
1869,1,1,City Center,223,18474,23196045
2486,1,1,City Center,162,9667,56254111
2034,3,1,Suburb,219,17863,76065015
646,3,1,Suburb,410,16993,24004438
2234,1,1,Suburb,70,11973,53704340
2343,3,1,Rural,277,12236,34533675
988,3,1,Rural,271,14277,7543812
2459,3,1,Suburb,227,17307,20534056
2163,2,1,Rural,292,18424,47385470
2885,2,1,City Center,145,8468,29612248
1140,3,1,City Center,476,12217,37356085
2302,3,1,City Center,389,9619,52988351
2469,2,1,Suburb,371,7636,29846147
2698,2,1,Rural,458,14155,38544960
1938,1,1,Suburb,450,9583,77582311
2134,1,1,Rural,102,10009,53640981
762,2,1,City Center,118,9326,79985777
2287,3,1,Suburb,250,16410,55437614
2691,3,1,Rural,364,14148,72190032
2893,3,1,Rural,433,8217,54294317
1123,3,1,City Center,151,10967,63889421
1516,1,1,Suburb,300,8369,74493686
1380,2,1,Suburb,441,9638,71215546
2549,3,1,Suburb,246,16695,58139050
1827,1,1,City Center,349,15135,75058766
2801,3,1,Suburb,321,11722,23021093
952,2,1,City Center,186,17029,26122242
1683,1,1,City Center,150,16852,66267675
2556,2,1,City Center,198,17128,74870233
2182,2,1,Rural,495,10444,34413964
2755,1,1,Suburb,58,13618,49410212
1654,1,1,Suburb,311,9947,70671523
903,1,1,City Center,378,7676,74967861
2699,1,1,City Center,199,7196,10975467
2601,1,1,Suburb,145,18297,53994791
2196,1,1,City Center,52,8787,7429290
1127,1,1,Suburb,413,13432,71026707
1086,3,1,Rural,389,15653,8120711
2148,2,1,City Center,362,13927,23298460
1943,1,1,Suburb,99,9318,79380135
1945,3,1,City Center,304,14858,57731417
603,3,1,Suburb,350,12689,46468176
753,3,1,Suburb,254,19810,62251007
1996,2,1,City Center,442,8176,31653875
598,1,1,Rural,201,9743,39993871
2700,3,1,Suburb,327,14792,19657005
2384,2,1,Suburb,115,16844,18006205
2419,2,1,Suburb,372,10422,18998378
1377,2,1,Rural,319,9824,12767567
837,3,1,Rural,391,18098,37941562
1456,1,1,City Center,242,15171,53645934
2204,3,1,Rural,274,8451,45314351
660,3,1,City Center,353,6628,7894554
2103,1,1,City Center,46,15821,28632535
897,1,1,Rural,314,13778,47159935
1800,1,1,City Center,50,9696,6947272
1315,2,1,Rural,26,17622,62062130
2027,1,1,City Center,353,9674,21942096
2419,3,1,Rural,286,9929,45898334
1915,1,1,Rural,316,8765,25896950
1658,3,1,City Center,68,10369,20058702
1718,2,1,Suburb,432,18972,21624798
900,3,1,City Center,192,14307,18613997
1139,3,1,Rural,50,10956,22136571
959,1,1,Suburb,48,16195,25398374
1454,1,1,City Center,406,6692,34317302
969,3,1,City Center,201,9162,25215280
1545,1,1,City Center,276,7105,62086288
2193,2,1,Suburb,156,9008,43784639
2585,2,1,Rural,404,8161,78555305
2777,1,1,City Center,342,14345,7998173
1062,2,1,City Center,136,19715,51516298
2985,1,1,City Center,55,9699,41044449
2299,3,1,City Center,54,19577,42657073
2574,3,1,City Center,10,18602,48812486
725,2,1,Rural,177,9786,56973241
1297,1,1,Rural,117,15256,51594401
2831,1,1,City Center,28,10200,32632954
1459,2,1,Suburb,341,7913,7534227
2004,3,1,Rural,81,15408,26974295
952,2,1,Suburb,465,11520,37044489
1315,3,1,Rural,454,16593,58919199
1158,1,1,City Center,118,7772,54280115
1046,3,1,Rural,277,16152,10109070
1715,2,1,City Center,454,8780,24583426
516,1,1,Rural,249,19891,77098148
1743,2,1,City Center,426,18996,45911037
2705,2,1,City Center,310,13423,47969656
1569,3,1,City Center,99,18938,15622823
2646,2,1,City Center,112,8871,43392619
2268,3,1,Suburb,485,19234,79199975
1560,1,1,City Center,259,6660,65072621
2827,3,1,Suburb,462,12242,29969983
801,1,1,Suburb,17,16827,10109404
680,3,1,City Center,162,16521,65081565
1106,2,1,Suburb,356,18146,26096059
1199,3,1,Rural,183,16642,66637833
1492,3,1,City Center,352,7132,33758630
1639,1,1,Suburb,167,6699,55691696
690,2,1,City Center,440,13470,48720675
2800,3,1,City Center,224,16230,6278495
1480,2,1,City Center,186,12297,34446755
2506,3,1,Suburb,184,18839,65551513
1684,3,1,Rural,349,13812,66043429
627,2,1,Rural,347,18692,26757269
2565,3,1,Suburb,155,10557,73808897
2316,2,1,City Center,459,8179,78216606
2258,3,1,Suburb,333,17030,9901403
1069,1,1,Suburb,487,15065,58177348
1846,2,1,Suburb,170,14275,47859263
2395,3,1,City Center,136,7422,29659943
1125,3,1,Suburb,429,16867,19490091
2186,1,1,City Center,91,9180,7742166
654,2,1,Suburb,494,10316,24238528
1909,3,1,Rural,156,18167,72505438
1284,1,1,Suburb,248,12696,48439480
745,3,1,Suburb,421,15583,8873524
2000,2,1,Rural,433,17410,59074103
2205,3,1,City Center,93,18399,19855509
1037,3,1,City Center,122,6614,32869644
2390,3,1,Suburb,234,19869,20226520
2341,3,1,Rural,341,17163,56627247
1420,1,1,City Center,387,17757,74665873
2955,1,1,Suburb,252,17768,53082866
1024,2,1,Rural,152,10570,40152336
2029,1,1,City Center,50,6270,56448489
535,1,1,City Center,432,18258,11907726
1184,2,1,Rural,267,8468,64890190
519,1,1,Rural,456,15582,35088574
2868,1,1,Rural,294,17546,11826038
899,2,1,Rural,114,18327,6237068
1471,2,1,Suburb,211,19281,71113119
2406,2,1,Rural,459,9607,68359944
1666,3,1,City Center,316,16775,18537895
1615,3,1,City Center,340,18265,73960025
1333,2,1,Suburb,470,9075,38927450
2323,2,1,City Center,275,18098,15093964
2482,2,1,City Center,407,6289,67980075
1353,3,1,Rural,219,14120,13870907
550,3,1,City Center,60,16672,74911330
1074,1,1,Suburb,127,12614,8382865
1648,1,1,Rural,210,9252,73573174
2697,2,1,Rural,386,13415,53376166
2861,3,1,Suburb,48,12771,76823619
2852,3,1,Rural,37,6278,48500282
2215,3,1,Rural,268,17116,59459288
1181,2,1,Suburb,93,6580,65488479
1337,1,1,Rural,463,10958,10303677
1577,2,1,Suburb,164,14445,44307724
2991,1,1,Suburb,126,10276,69925100
2811,1,1,City Center,11,13997,65892560
2095,2,1,City Center,102,10776,29005168
504,1,1,Rural,175,6824,49586949
1626,1,1,Rural,396,9832,28451154
1719,3,1,Suburb,409,14891,78217592
1273,1,1,Rural,359,11445,61392443
1376,2,1,Suburb,305,7380,53574147
1491,2,1,Suburb,267,18088,12379515
546,1,1,Rural,90,15865,29266975
768,3,1,Suburb,434,16919,75679589
869,3,1,City Center,277,12534,34576958
1135,1,1,Rural,428,19926,41980709
1629,1,1,City Center,244,9156,53044727
2193,2,1,Rural,330,17580,44879284
2182,1,1,Suburb,320,10307,51143490
1156,3,1,Rural,310,11634,7317621
619,1,1,City Center,472,14575,62740577
1330,2,1,Suburb,483,11810,25145109
2310,2,1,Rural,366,14533,49383391
1581,2,1,Rural,222,11934,66619173
2474,2,1,Rural,71,16179,11053127
1869,2,1,City Center,58,18251,43625927
1240,1,1,City Center,136,19131,24868229
616,1,1,Rural,232,9109,18019231
2353,1,1,Suburb,418,10082,76790754
1650,1,1,Suburb,288,19822,11991305
2431,2,1,City Center,417,18707,52015290
1512,3,1,Suburb,303,16990,11887774
2164,1,1,City Center,293,9240,52055772
1581,3,1,Rural,286,16180,69034622
1133,1,1,City Center,447,12028,76929752
1012,1,1,City Center,116,17606,13534504
1619,3,1,Rural,155,7849,17364638
1641,2,1,Suburb,429,14497,62896917
1059,1,1,City Center,108,17805,13199107
987,1,1,City Center,438,8749,8806284
1396,1,1,Rural,384,19156,34052393
1712,3,1,Suburb,82,12680,54725617
1203,2,1,City Center,446,15327,16002707
1970,3,1,Rural,495,19722,12572531
1080,3,1,City Center,131,6205,7141452
2794,2,1,Rural,39,13352,63147728
653,3,1,Suburb,197,10591,72014115
2179,2,1,Suburb,373,9450,38080782
1496,1,1,Suburb,363,13214,57562444
1743,2,1,Suburb,297,9811,6113936
1592,1,1,City Center,460,17814,60542231
1508,3,1,City Center,204,17791,68232561
2641,3,1,Suburb,165,16743,53257306
2273,1,1,Suburb,181,11141,43834860
1457,3,1,Suburb,344,18500,36776598
952,2,1,City Center,50,14501,49855533
1727,1,1,Suburb,72,8708,75542215
2765,3,1,Suburb,32,7991,25596398
2979,1,1,Suburb,369,14463,15382586
2888,2,1,Rural,84,17834,33639012
1050,2,1,Suburb,57,18278,51422040
2135,3,1,Rural,169,16014,70374460
1812,2,1,Rural,322,9273,50772085
2257,1,1,Suburb,127,10538,61500286
856,2,1,Rural,109,18541,19575056
2570,1,1,Suburb,389,14712,77224605
2285,1,1,City Center,426,15168,9457521
2281,2,1,City Center,417,9722,70652381
2989,3,1,City Center,176,9551,35797713
2131,2,1,City Center,299,18297,68098188
1515,1,1,Rural,449,16965,61376477
1848,1,1,Suburb,165,16744,78792724
1015,2,1,Suburb,430,8832,66999279
835,3,1,Suburb,16,18099,51444007
2282,3,1,City Center,205,11679,40321874
2805,1,1,City Center,430,12579,65195534
996,1,1,Suburb,65,19422,24707656
1395,3,1,City Center,330,6152,48322633
2707,2,1,Suburb,202,11754,11478878
1351,1,1,Suburb,56,17156,11679487
2187,1,1,Suburb,157,17108,21726259
2431,3,1,Suburb,284,8800,45651128
2927,2,1,Suburb,166,11310,8914611
2068,3,1,Suburb,211,15944,25024896
1456,2,1,Suburb,453,8610,69382571
2136,2,1,City Center,411,18067,22037706
1791,2,1,Suburb,485,7104,55558625
1940,1,1,Suburb,428,16728,31118176
1691,3,1,City Center,436,19182,43434360
1566,3,1,City Center,488,19399,68575544
784,2,1,City Center,484,13361,13039879
2944,1,1,Suburb,135,10199,75224090
511,1,1,Rural,404,9854,40895115
2130,3,1,Rural,314,13263,26407616
1253,1,1,City Center,378,17686,79103466
2582,1,1,Rural,303,7914,59005353
589,2,1,City Center,73,13365,79416381
1275,1,1,Suburb,334,9072,9305610
2125,2,1,Rural,401,15198,31619046
917,3,1,Suburb,427,6406,8088618
614,1,1,Rural,185,19689,60732500
1116,3,1,Suburb,125,6166,20094164
1325,3,1,Rural,449,6508,58924805
2149,1,1,Suburb,213,7661,21741873
2016,1,1,Suburb,495,9664,29835237
912,3,1,Rural,330,9489,67669567
1228,1,1,Suburb,40,19050,12662064
1175,2,1,Suburb,397,6680,73326178
2392,2,1,Suburb,122,8524,58966770
2739,1,1,Rural,374,8120,11728394
1622,3,1,Rural,443,11260,54388951
2071,1,1,Suburb,334,18869,59798337
1477,1,1,Suburb,423,10357,55898558
1508,3,1,Rural,385,7363,50019815
2643,3,1,Rural,353,15523,57946342
2187,2,1,Suburb,452,8292,72556571
536,3,1,Suburb,76,7538,21214586
2048,2,1,Suburb,84,9408,26658359
2826,3,1,City Center,54,13742,27688293
2764,1,1,Rural,269,14752,67867035
1372,2,1,City Center,163,15291,24722753
2321,2,1,Rural,164,7903,47495670
1796,2,1,Rural,439,6174,31243940
2609,1,1,Rural,372,16348,48327410
1095,1,1,Rural,457,8230,33188467
2403,1,1,Rural,484,10287,34618453
1228,1,1,Rural,243,10160,34694704
1865,1,1,Rural,60,18112,7572138
896,2,1,City Center,315,13106,50171571
1198,1,1,Suburb,271,15689,56557904
2724,2,1,Suburb,324,18046,19468899
2135,1,1,City Center,134,9171,62825938
895,3,1,City Center,408,7567,76606695
2992,2,1,City Center,254,7151,8848439
575,3,1,City Center,39,13619,28755322
764,2,1,Rural,435,12033,30843035
2319,3,1,Suburb,494,14560,53453056
1217,1,1,Rural,131,10946,47888352
1350,1,1,Suburb,134,14234,75130699
1890,1,1,Suburb,46,7907,12427095
643,2,1,City Center,179,9490,71771889
1384,3,1,Rural,133,8535,53206309
895,1,1,City Center,366,10173,43086106
1992,3,1,Rural,44,17065,34093327
1667,3,1,Suburb,96,16016,12282827
1562,1,1,City Center,143,7293,54442092
2656,1,1,City Center,205,10769,45576088
1565,3,1,Suburb,283,10796,35990398
1709,1,1,Suburb,210,19046,12519585
2945,1,1,Suburb,378,12871,14132162
1133,1,1,City Center,294,17578,27588887
1656,2,1,Rural,86,8972,15492989
1738,3,1,City Center,68,9922,30325097
1232,3,1,Rural,440,10997,11055769
734,2,1,City Center,135,13032,22613311
1250,3,1,City Center,410,6992,72104329
1453,1,1,Suburb,118,14112,61906455
2042,3,1,Rural,233,11287,27079044
1697,1,1,City Center,287,16578,36271417
2176,2,1,City Center,77,8240,23321242
1691,1,1,Suburb,78,7476,18696688
2717,3,1,Suburb,174,12426,35540622
1916,3,1,Rural,498,17599,37239860
1717,3,1,City Center,314,6389,27249305
2040,2,1,Rural,406,6999,59182422
2576,2,1,City Center,171,18812,47175390
1945,3,1,Rural,374,7855,61914929
2886,1,1,Suburb,351,14125,38059531
2019,2,1,City Center,318,19794,18563926
1888,3,1,Rural,388,14850,65366531
2356,3,1,Suburb,352,8763,11918806
1865,2,1,Suburb,444,9663,21272118
999,2,1,Rural,396,10986,63153903
2180,2,1,City Center,51,7481,16986741
1010,1,1,City Center,363,13256,19356632
716,1,1,Suburb,425,9731,53081025
1824,3,1,City Center,118,13262,17685762
1655,2,1,City Center,60,6451,49151508
2327,1,1,City Center,259,16667,48926707
2310,2,1,Suburb,350,17414,79414100
2992,3,1,Rural,439,15729,75474749
1705,1,1,City Center,392,9093,79304060
2714,1,1,Suburb,30,6882,6880096
590,1,1,Suburb,309,10408,34756261
1213,3,1,Rural,148,10068,59256185
2381,2,1,City Center,368,19127,57923821
538,1,1,City Center,333,16758,16015667
672,3,1,Rural,394,9277,70996302
1152,2,1,Rural,101,14566,37087640
1253,3,1,Suburb,456,18738,41027732
1743,2,1,Suburb,289,17889,70940921
1581,3,1,Rural,134,13951,72338692
2183,2,1,City Center,492,17254,54883781
955,1,1,Suburb,406,10690,66126058
1328,2,1,Suburb,120,17442,6892015
1394,3,1,City Center,363,19521,67203758
1884,3,1,Suburb,148,10595,71184214
2458,2,1,City Center,493,10559,16356675
2934,1,1,City Center,444,13291,57982996
2496,1,1,City Center,282,14160,42425691
2895,2,1,Rural,108,6112,23631957
689,2,1,Rural,261,11131,9352214
1004,3,1,Rural,347,9197,58355263
1714,1,1,City Center,113,16570,25787303
2031,2,1,City Center,223,16116,67395288
1323,1,1,Rural,258,6139,28158515
1428,2,1,Suburb,161,7424,52433264
1433,2,1,City Center,259,8949,66348918
1640,1,1,Suburb,284,9168,22912586
633,2,1,Suburb,174,14708,51975556
2605,2,1,City Center,496,16808,27419897
1184,3,1,City Center,350,12043,67664492
2720,2,1,Suburb,17,12989,62526516
2352,2,1,Suburb,293,13236,56758892
1314,2,1,Rural,14,12261,38320708
1672,3,1,Rural,154,6887,26333128
579,1,1,City Center,110,9104,10713199
702,3,1,Rural,173,19629,15664001
1752,3,1,Rural,383,6049,58420967
2199,1,1,Rural,156,9951,11125819
1750,3,1,Rural,73,9560,16598429
2182,1,1,Suburb,100,6018,10474843
2055,3,1,City Center,126,10821,24520171
2594,1,1,Rural,363,12340,46866635
1756,2,1,Suburb,276,14058,75895769
2049,3,1,Suburb,319,15665,41400396
1666,3,1,Suburb,182,18253,29511930
1896,3,1,Rural,56,8606,70886718
970,3,1,Rural,149,13846,9503548
1535,2,1,City Center,255,14643,32801589
1853,3,1,Rural,158,12432,69639417
1467,2,1,Rural,255,19452,58916829
857,2,1,Suburb,404,19395,47535944
1167,2,1,City Center,496,9765,8269798
872,2,1,Rural,485,8438,10181726
1531,1,1,Rural,14,18502,9439289
1645,1,1,Suburb,474,15741,22186862
1871,3,1,Suburb,193,12358,25375691
589,1,1,Rural,29,17666,39378855
1039,1,1,City Center,434,14319,57267968
1368,3,1,City Center,55,11941,18275520
540,3,1,Suburb,21,13644,61341816
1239,3,1,Suburb,79,10855,70990398
2446,1,1,Rural,26,12547,11422569
1724,1,1,Suburb,380,13196,72394805
1428,3,1,Rural,156,11911,53468948
2536,2,1,City Center,163,12481,41202256
1424,3,1,City Center,313,8761,65871253
2081,2,1,Rural,117,10456,42938405
889,2,1,Suburb,245,18856,36361580
2117,3,1,City Center,317,15607,60457551
755,3,1,Suburb,361,12361,14821437
1208,3,1,City Center,79,11693,73342864
2338,1,1,Rural,192,11788,68640623
2444,2,1,Rural,259,6201,63475661
2997,1,1,Rural,237,12160,34529068
509,1,1,City Center,111,16561,19693090
1297,3,1,Suburb,84,6517,16688877
1376,1,1,Suburb,426,13737,31732334
1528,3,1,Suburb,455,19636,68701639
1515,2,1,City Center,225,19723,66011150
2324,3,1,City Center,416,15533,53775541
873,1,1,City Center,408,18968,57039740
2693,1,1,City Center,420,7988,47279258
723,3,1,City Center,212,17737,7097996
1762,3,1,Suburb,201,19779,77926775
2724,1,1,City Center,258,18712,77967803
2302,2,1,City Center,251,9802,66422713
1352,2,1,Suburb,474,11808,68325142
562,3,1,City Center,188,17467,7383640
1740,2,1,Suburb,446,17846,40068385
1188,1,1,Suburb,471,13162,12051865
1984,3,1,Rural,228,16626,35404164
2133,1,1,Rural,91,19065,12434323
2652,1,1,Rural,101,12241,27340869
1010,2,1,Rural,444,14399,6685503
884,3,1,City Center,184,11633,16311825
904,3,1,Rural,248,11755,10777421
1017,2,1,Suburb,269,16825,31557004
975,1,1,City Center,400,12309,28473606
2500,1,1,Rural,374,10117,55035647
2168,1,1,Suburb,172,14345,58829582
2393,1,1,City Center,57,17558,10218346
1960,3,1,City Center,338,18506,60934254
1213,3,1,Rural,337,18956,29741419
582,2,1,City Center,125,7518,31061794
1668,2,1,Suburb,438,12163,67431120
2401,3,1,City Center,346,8600,52884754
2548,3,1,Suburb,346,19237,60675347
550,1,1,City Center,378,8195,17524217
1184,1,1,Rural,234,18690,72725931
1216,2,1,Suburb,361,18883,15324391
1969,3,1,City Center,337,9554,36717847
948,2,1,City Center,156,16606,8906492
1380,3,1,City Center,72,19725,28919530
987,1,1,Suburb,303,8849,58073536
2323,2,1,Suburb,332,19445,34412258
2581,2,1,Suburb,452,7742,53878943
2642,3,1,Rural,334,7306,6122019
2074,1,1,Rural,22,9849,35731980
2701,2,1,Suburb,440,18360,7765317
749,1,1,City Center,198,18768,34058751
1173,2,1,Rural,296,13519,14202637
937,1,1,Suburb,217,18847,38676719
2665,3,1,City Center,123,19032,35014013
1270,2,1,Rural,489,19754,8416826
767,2,1,City Center,31,10195,69574747
2484,1,1,City Center,358,11178,10290447
1577,1,1,City Center,223,8555,51806781
735,2,1,City Center,180,8305,6144771
888,3,1,Rural,332,18700,61546284
1262,1,1,Rural,63,13619,11749593
2348,1,1,Rural,403,15280,57340571
2948,1,1,Suburb,307,8642,24598124
1123,2,1,Rural,329,15369,14499970
1752,2,1,City Center,135,12409,60248181
1077,2,1,Rural,286,19108,28311047
2622,2,1,City Center,473,10757,16425111
934,3,1,Suburb,213,8994,60702250
2650,3,1,City Center,203,14751,59012638
1263,2,1,City Center,178,17156,8362854
1829,3,1,City Center,161,7271,13284268
2645,1,1,Suburb,44,7813,54025351
1858,1,1,Rural,193,17107,49682162
2982,1,1,Rural,295,14801,25828838
946,2,1,Suburb,66,8461,50729321
2517,1,1,City Center,231,10120,23552508
1831,3,1,Rural,312,12124,26704568
748,2,1,Suburb,172,14475,25110863
665,3,1,Rural,28,19760,16298825
1858,1,1,Suburb,379,17120,15989349
1519,1,1,City Center,273,10396,6189073
1041,1,1,Rural,291,15283,56690929
1258,2,1,Suburb,122,19318,60745659
2628,3,1,Rural,497,6816,33504225
2680,2,1,Rural,336,13304,57417258
1296,2,1,Rural,39,13331,13752342
637,1,1,Rural,144,6082,40613597
2731,2,1,Suburb,76,7920,44854533
1853,2,1,City Center,74,13817,30373175
2375,1,1,Suburb,301,17683,9933817
568,2,1,Suburb,34,17336,65546219
